row_index,parse_ok,length,finite_count,nonfinite_count,min,max,mean,split
109,True,2151,2151,0,0.038,0.94,0.4044128312412831,original
110,True,2151,2151,0,0.05,0.966,0.44449465364946533,original
111,True,2151,2151,0,0.055,0.961,0.4570539284053929,original
112,True,2151,2151,0,0.041,0.975,0.4340980939098094,original
113,True,2151,2151,0,0.042,0.951,0.4185987912598791,original
114,True,2151,2151,0,0.048,0.962,0.4321961878196187,original
115,True,2151,2151,0,0.055,0.964,0.4639386331938633,original
116,True,2151,2151,0,0.038,0.961,0.41640074384007436,original
117,True,2151,2151,0,0.048,1.007,0.47769502556950255,original
118,True,2151,2151,0,0.035,0.961,0.40574988377498833,original
119,True,2151,2151,0,0.046,0.945,0.4121757322175732,original
120,True,2151,2151,0,0.031,0.922,0.40608135750813573,original
121,True,2151,2151,0,0.058,0.987,0.47136169223616925,original
122,True,2151,2151,0,0.051,0.956,0.4414546722454672,original
123,True,2151,2151,0,0.053,1.004,0.4731947931194793,original
124,True,2151,2151,0,0.052,0.964,0.4496717805671781,original
125,True,2151,2151,0,0.059,0.979,0.4741585309158531,original
126,True,2151,2151,0,0.047,0.974,0.42818224081822415,original
127,True,2151,2151,0,0.054,1.041,0.47976243607624364,original
128,True,2151,2151,0,0.045,1.01,0.4709874476987448,original
129,True,2151,2151,0,0.054,1.011,0.4685546257554626,original
130,True,2151,2151,0,0.035,1.008,0.4435216178521617,original
131,True,2151,2151,0,0.047,1.016,0.4716573686657369,original
132,True,2151,2151,0,0.048,1.008,0.4695746164574616,original
133,True,2151,2151,0,0.046,0.96,0.4308591352859135,original
134,True,2151,2151,0,0.034,0.993,0.4486178521617852,original
135,True,2151,2151,0,0.039,0.996,0.45527429102742906,original
136,True,2151,2151,0,0.051,0.955,0.4277759181775918,original
137,True,2151,2151,0,0.054,0.986,0.4343900511390051,original
138,True,2151,2151,0,0.04,1.003,0.4561813110181311,original
139,True,2151,2151,0,0.047,0.995,0.4657577870757787,original
140,True,2151,2151,0,0.034,0.993,0.4486178521617852,original
141,True,2151,2151,0,0.042,1.025,0.45459414225941425,original
142,True,2151,2151,0,0.039,0.996,0.45527429102742906,original
143,True,2151,2151,0,0.051,0.955,0.4277759181775918,original
144,True,2151,2151,0,0.054,0.986,0.4343900511390051,original
145,True,2151,2151,0,0.04,1.003,0.4561813110181311,original
146,True,2151,2151,0,0.075,1.097,0.5074895397489539,original
147,True,2151,2151,0,0.063,1.004,0.47232775453277537,original
148,True,2151,2151,0,0.089,1.045,0.4986917712691772,original
149,True,2151,2151,0,0.076,1.108,0.5245648535564853,original
150,True,2151,2151,0,0.101,1.117,0.5324425848442585,original
151,True,2151,2151,0,0.084,1.073,0.5158321710832171,original
152,True,2151,2151,0,0.062,0.951,0.4589837284983728,original
153,True,2151,2151,0,0.059,1.01,0.4756806136680614,original
154,True,2151,2151,0,0.078,1.006,0.5489669920966992,original
155,True,2151,2151,0,0.072,1.001,0.49906648070664805,original
156,True,2151,2151,0,0.074,1.01,0.5381352859135285,original
157,True,2151,2151,0,0.062,0.999,0.46523988842398883,original
158,True,2151,2151,0,0.071,1.002,0.5374091120409112,original
159,True,2151,2151,0,0.062,0.989,0.45655044165504416,original
160,True,2151,2151,0,0.055,1.008,0.44458112505811254,original
161,True,2151,2151,0,0.065,1.052,0.4972463970246397,original
162,True,2151,2151,0,0.06,1.003,0.4790990237099023,original
163,True,2151,2151,0,0.042,0.95,0.42246490004649,original
164,True,2151,2151,0,0.058,0.997,0.5000088331008834,original
165,True,2151,2151,0,0.062,1.032,0.5058400743840075,original
166,True,2151,2151,0,0.062,1.013,0.49355788005578805,original
167,True,2151,2151,0,0.062,1.021,0.5110706648070665,original
168,True,2151,2151,0,0.059,0.994,0.4775657833565784,original
169,True,2151,2151,0,0.066,0.973,0.47073175267317524,original
170,True,2151,2151,0,0.061,0.971,0.5049465364946537,original
171,True,2151,2151,0,0.068,1.033,0.49325848442584846,original
172,True,2151,2151,0,0.073,1.032,0.48854625755462566,original
173,True,2151,2151,0,0.082,1.024,0.5144072524407253,original
174,True,2151,2151,0,0.064,1.011,0.487417480241748,original
175,True,2151,2151,0,0.055,1.115,0.4875062761506276,original
176,True,2151,2151,0,0.076,1.155,0.5661571362157136,original
177,True,2151,2151,0,0.079,1.144,0.5592068805206881,original
178,True,2151,2151,0,0.078,1.128,0.5388033472803347,original
179,True,2151,2151,0,0.086,1.13,0.5640353324035332,original
180,True,2151,2151,0,0.046,0.992,0.44961413296141334,original
181,True,2151,2151,0,0.038,0.956,0.4399404927940493,original
182,True,2151,2151,0,0.037,0.939,0.41077917247791723,original
183,True,2151,2151,0,0.055,0.963,0.47093770339377033,original
184,True,2151,2151,0,0.051,0.943,0.4606429567642957,original
185,True,2151,2151,0,0.051,0.958,0.43864993026499305,original
186,True,2151,2151,0,0.057,0.945,0.43027986982798694,original
187,True,2151,2151,0,0.066,1.003,0.4726420269642027,original
188,True,2151,2151,0,0.066,0.998,0.49321850302185033,original
189,True,2151,2151,0,0.046,1.002,0.4358242677824267,original
190,True,2151,2151,0,0.052,1.006,0.46746211064621107,original
191,True,2151,2151,0,0.055,1.035,0.45447140864714086,original
192,True,2151,2151,0,0.055,1.008,0.44982426778242685,original
193,True,2151,2151,0,0.059,1.001,0.45683077638307773,original
194,True,2151,2151,0,0.064,0.992,0.5011199442119945,original
195,True,2151,2151,0,0.061,1.022,0.49489539748953976,original
196,True,2151,2151,0,0.057,1.0,0.4794941887494189,original
197,True,2151,2151,0,0.061,0.973,0.4838596001859601,original
198,True,2151,2151,0,0.062,1.0,0.5169623430962343,original
199,True,2151,2151,0,0.052,0.946,0.4285364946536495,original
200,True,2151,2151,0,0.057,1.039,0.49515806601580664,original
201,True,2151,2151,0,0.064,0.988,0.4857601115760111,original
202,True,2151,2151,0,0.059,1.009,0.4819623430962343,original
203,True,2151,2151,0,0.048,0.996,0.4617047884704788,original
204,True,2151,2151,0,0.059,1.001,0.4876815434681543,original
205,True,2151,2151,0,0.058,0.948,0.4767452347745235,original
206,True,2151,2151,0,0.061,0.97,0.4550041841004184,original
207,True,2151,2151,0,0.047,1.063,0.49100232450023246,original
208,True,2151,2151,0,0.05,1.032,0.48566573686657366,original
209,True,2151,2151,0,0.06,0.975,0.44419200371920037,original
210,True,2151,2151,0,0.055,0.999,0.4517094374709437,original
211,True,2151,2151,0,0.056,1.006,0.49274337517433753,original
212,True,2151,2151,0,0.062,1.054,0.5200032543003255,original
213,True,2151,2151,0,0.047,1.063,0.49100232450023246,original
214,True,2151,2151,0,0.053,1.016,0.46741097164109713,original
215,True,2151,2151,0,0.05,1.032,0.48566573686657366,original
216,True,2151,2151,0,0.06,0.975,0.44419200371920037,original
217,True,2151,2151,0,0.055,0.999,0.4517094374709437,original
218,True,2151,2151,0,0.056,1.006,0.49274337517433753,original
219,True,2151,2151,0,0.098,1.081,0.5284453742445375,original
220,True,2151,2151,0,0.069,0.957,0.46630543933054397,original
221,True,2151,2151,0,0.113,1.005,0.5171064621106461,original
222,True,2151,2151,0,0.087,1.021,0.5141408647140865,original
223,True,2151,2151,0,0.091,1.001,0.5261659693165969,original
224,True,2151,2151,0,0.097,1.03,0.5427503486750349,original
225,True,2151,2151,0,0.057,0.993,0.5009516503951651,original
226,True,2151,2151,0,0.074,1.007,0.49259507205950726,original
227,True,2151,2151,0,0.058,0.985,0.606139470013947,original
228,True,2151,2151,0,0.062,1.007,0.531840539284054,original
229,True,2151,2151,0,0.055,0.989,0.6075206880520688,original
230,True,2151,2151,0,0.068,0.985,0.49120083682008375,original
231,True,2151,2151,0,0.066,1.037,0.643999070199907,original
