stage,change_type,spectral_index_retained,wavelength_nm,mean_reflectance,smoothed_reflectance,first_derivative,second_derivative,score
Stage3,local_minimum,1527,1927.0,0.2041383683681488,0.20403725166950057,-1.6514529460054383e-06,0.00011466629520646282,0.16077153234603472
Stage3,slope_curvature_change,1616,2016.0,0.3174680471420288,0.31740162466373834,0.0006524770547844672,-6.11886816073437e-05,6.04057761954685e-05
Stage3,local_maximum,1825,2225.0,0.3648936450481415,0.3648087840155353,2.369225410925324e-05,-7.653613853096652e-05,0.16077153234603472
Stage3,slope_curvature_change,1832,2232.0,0.36302125453948975,0.3629310436419345,-0.0005851395722767938,-9.44703641067024e-05,9.33014487024264e-05
Stage3,slope_curvature_change,1907,2307.0,0.2706170082092285,0.2711889084591568,-0.0004975771154186737,0.00013123837887596412,0.00013112987532255815
Stage3,slope_curvature_change,2078,2478.0,0.16845747828483582,0.16845338012495517,-0.0005703789783519653,7.06073361956619e-05,7.027174784225709e-05
Dry,local_maximum,191,591.0,0.16112767159938812,0.16072461373680783,8.452021806826249e-06,-0.00010855895054509568,0.05134591188393475
Dry,slope_curvature_change,213,613.0,0.14695744216442108,0.1473731993528859,-0.00014820233905069036,0.00012327116240817837,0.00011728869728306474
Dry,local_minimum,271,671.0,0.1092233955860138,0.10937870185287307,2.5458105751552385e-05,0.00022696119545080606,0.05134591188393475
Dry,slope_curvature_change,280,680.0,0.11965956538915634,0.12004523969631012,0.002451755584117976,0.0002945764784200236,0.0002944787554851093
Dry,slope_curvature_change,585,985.0,0.890670120716095,0.8906940233419002,0.0012477446565590244,0.00018867588414506198,0.0001886429709472004
Dry,local_maximum,913,1313.0,0.9918510913848877,0.9918117752112453,-2.1021350937733274e-07,-8.37946585449667e-06,0.7204701838697529
Dry,slope_curvature_change,1004,1404.0,0.8964254260063171,0.8956801056294985,-0.004029380324660936,-0.0002578103903366491,0.00025771574558647314
Dry,local_minimum,1054,1454.0,0.7042233943939209,0.7039755028050222,2.959195518048574e-05,8.015884754208891e-05,0.0919204132659831
Dry,local_maximum,1238,1638.0,0.7958829998970032,0.7958959160710053,1.2703823819071314e-05,-4.4643943731020874e-05,0.0919204132659831
Dry,slope_curvature_change,1248,1648.0,0.7931382060050964,0.7928632425277953,-0.0007030694263385762,-8.933273108180373e-05,8.887558684259056e-05
Dry,slope_curvature_change,1325,1725.0,0.7044574022293091,0.7047962624583561,-0.0001497643488653222,0.00014450160952445001,0.0001425343247416222
Dry,local_minimum,1326,1726.0,0.704042375087738,0.7047205023510235,-3.976284981499489e-06,0.00014178684669360897,0.07418263282798754
Dry,slope_curvature_change,1416,1816.0,0.7528190016746521,0.7529271984861933,0.0007847419931741872,-0.00024238834699105705,0.0002422220790237184
Dry,local_maximum,1461,1861.0,0.7791275382041931,0.778903135179011,1.8235667070820583e-05,-6.318743603328514e-05,0.07418263282798754
Dry,slope_curvature_change,1513,1913.0,0.5829148888587952,0.583694977301732,-0.004360579892228822,0.00037129633509114246,0.00037115303591749027
Dry,local_minimum,1529,1929.0,0.5541171431541443,0.5539422679000292,-2.8489929248975976e-05,0.00014798412496344615,0.05227545691833413
Dry,local_maximum,1596,1996.0,0.6061913967132568,0.6062177248183633,-1.2877710379832763e-05,-8.04014219916438e-05,0.05227545691833413
Dry,slope_curvature_change,1610,2010.0,0.5962764620780945,0.5961186174604074,-0.0015624558850888537,-0.00013604024831059824,0.0001350544857923741
Dry,local_minimum,1743,2143.0,0.4115425646305084,0.4117200617054014,9.832812013749193e-06,3.845323529252931e-05,0.06627437879491938
Dry,local_maximum,1826,2226.0,0.47807443141937256,0.47799444050032075,-3.1228066214028516e-06,-0.00011315691373460501,0.06627437879491938
Dry,slope_curvature_change,1836,2236.0,0.47158509492874146,0.47131061297488874,-0.001377396408341447,-0.00014494954545182792,0.00014099082346806513
Dry,slope_curvature_change,1907,2307.0,0.35197874903678894,0.3530563920546325,-0.0001824816286003228,0.00019089186944373782,0.0001906899526068484
Dry,slope_curvature_change,2080,2480.0,0.2797020971775055,0.2791445899665383,-0.0006679608033127171,9.921268012913487e-05,9.813608065063761e-05
