stage,spectral_index_retained,wavelength_nm,mean_reflectance,smoothed_reflectance,first_derivative,second_derivative,abs_second_derivative
Stage1,703,1103.0,0.905680239200592,0.9057578920823487,-5.2620320291685285e-05,-9.31375916821131e-06,9.31375916821131e-06
Stage1,704,1104.0,0.9056302905082703,0.9057001867818611,-6.24536762754424e-05,-8.42879685009068e-06,8.42879685009068e-06
Stage1,705,1105.0,0.9055802226066589,0.9056329847297978,-6.947791399186665e-05,-5.391045435926278e-06,5.391045435926278e-06
Stage1,706,1106.0,0.9055301547050476,0.9055612309538774,-7.323576714729496e-05,-5.800471000572127e-06,5.800471000572127e-06
Stage1,707,1107.0,0.9054202437400818,0.9054865131955032,-8.10788559930109e-05,-6.811262165562493e-06,6.811262165562493e-06
Stage1,708,1108.0,0.9053602814674377,0.9053990732418914,-8.685829147841995e-05,-3.8657098969663295e-06,3.8657098969663295e-06
Stage1,709,1109.0,0.9052402377128601,0.9053127966125464,-8.881027578694356e-05,-4.7778797554465235e-06,4.7778797554465235e-06
Stage1,710,1110.0,0.9051802158355713,0.9052214526903175,-9.6414050989313e-05,-7.742904944069151e-06,7.742904944069151e-06
Stage1,711,1111.0,0.9050602912902832,0.9051199685105678,-0.00010429608567508186,-7.217770484041486e-06,7.217770484041486e-06
Stage1,712,1112.0,0.9049401879310608,0.9050128605189673,-0.00011084959195739597,-9.762823720366187e-06,9.762823720366187e-06
Stage1,713,1113.0,0.9048101902008057,0.904898269326653,-0.00012382173311581424,-1.5756545709066927e-05,1.5756545709066927e-05
Stage1,714,1114.0,0.904710054397583,0.9047652170527357,-0.00014236268337552982,-1.9698854415634015e-05,1.9698854415634015e-05
Stage1,715,1115.0,0.9045400023460388,0.9046135439599019,-0.00016321944194708227,-2.308029842304493e-05,2.308029842304493e-05
Stage1,716,1116.0,0.9042701125144958,0.9044387781688416,-0.00018852328022161968,-2.829208389934501e-05,2.829208389934501e-05
Stage1,717,1117.0,0.9040098786354065,0.9042364973994587,-0.0002198036097457723,-3.4309484404332347e-05,3.4309484404332347e-05
Stage1,718,1118.0,0.9037798047065735,0.90399917094935,-0.0002571422490302844,-3.83457567684764e-05,3.83457567684764e-05
Stage1,719,1119.0,0.9035896062850952,0.9037222129013981,-0.0002964951232827251,-4.1969984676398786e-05,4.1969984676398786e-05
Stage1,720,1120.0,0.903359591960907,0.9034061807027846,-0.00034108221838308195,-4.80513913118652e-05,4.80513913118652e-05
Stage1,721,1121.0,0.9029695987701416,0.9030400484646319,-0.0003925979059064555,-5.8641508997619995e-05,5.8641508997619995e-05
Stage1,722,1122.0,0.9025394916534424,0.9026209848909716,-0.00045836523637832194,-7.147909217328219e-05,7.147909217328219e-05
Stage1,723,1123.0,0.9022095203399658,0.9021233179918753,-0.0005355560902530199,-7.887033182285563e-05,7.887033182285563e-05
Stage1,724,1124.0,0.9015797972679138,0.9015498727104656,-0.0006161059000240332,-8.540283574021146e-05,8.540283574021146e-05
Stage1,725,1125.0,0.9009097814559937,0.9008911061918272,-0.0007063617617334428,-9.49182284589456e-05,9.49182284589456e-05
Stage1,726,1126.0,0.9002600908279419,0.9001371491869987,-0.0008059423569419244,-0.00010378838537775104,0.00010378838537775104
Stage1,727,1127.0,0.8993601202964783,0.8992792214779434,-0.0009139385324889449,-0.0001126491215198977,0.0001126491215198977
Stage1,728,1128.0,0.8983901739120483,0.8983092721220208,-0.0010312405999817198,-0.00012106624938484911,0.00012106624938484911
