stage,n_samples,spectral_index_retained,wavelength_nm,mean_reflectance,std_reflectance,smoothed_reflectance,first_derivative,second_derivative
Fresh,100,133,533.0,0.1047000139951706,0.02451917715370655,0.1041440694615553,0.0013660279087837138,-0.00013180378048825714
Fresh,100,134,534.0,0.10599998384714127,0.02455972507596016,0.105443744777888,0.0012354035812346398,-0.00012859038158005015
Fresh,100,135,535.0,0.10708002001047134,0.02460840530693531,0.10661487662402458,0.0011088471456236135,-0.00012301779576740987
Fresh,100,136,536.0,0.10798000544309616,0.024584542959928513,0.10766143906913522,0.00098936798969982,-0.00011412327792142615
Fresh,100,137,537.0,0.10878998786211014,0.024615971371531487,0.10859361260342422,0.0008806005897807612,-0.00010454617286248871
Fresh,100,138,538.0,0.10956001281738281,0.024656567722558975,0.10942264024869675,0.0007802756439748426,-9.566343550777151e-05
Fresh,100,139,539.0,0.11009998619556427,0.024635136127471924,0.1101541638913739,0.0006892737187652181,-8.652799565295535e-05
Fresh,100,140,540.0,0.11056999117136002,0.024656541645526886,0.11080118768622718,0.0006072196526689319,-7.925323979240603e-05
Fresh,100,141,541.0,0.11101999133825302,0.024672649800777435,0.11136860319671177,0.0005307672391804061,-7.423433932992815e-05
Fresh,100,142,542.0,0.11143001914024353,0.024697471410036087,0.111862722164588,0.0004587509740090756,-7.1017778502009e-05
Fresh,100,143,543.0,0.11178002506494522,0.024670055136084557,0.11228610514472992,0.0003887316821763881,-6.959764653225939e-05
Fresh,100,144,544.0,0.11206001043319702,0.024721579626202583,0.11264018552894077,0.00031955568094455683,-6.961602171784084e-05
Fresh,100,145,545.0,0.11244998872280121,0.024719374254345894,0.11292521650661903,0.0002494996387407064,-7.073597228917511e-05
Fresh,100,146,546.0,0.11268000304698944,0.02474222145974636,0.11313918480642218,0.0001780837363662066,-7.352415034907536e-05
Fresh,100,147,547.0,0.11289998888969421,0.024708092212677002,0.11328138397935145,0.00010245133804255568,-7.822664675142046e-05
Fresh,100,148,548.0,0.11308997869491577,0.02468080073595047,0.1133440874825073,2.1630442863365684e-05,-8.115969430281048e-05
Fresh,100,149,549.0,0.11323998123407364,0.02461995743215084,0.11332464486507818,-5.986805056306527e-05,-8.323954904070063e-05
Fresh,100,150,550.0,0.11330998688936234,0.02463196963071823,0.11322435138138116,-0.00014484865521803558,-8.914651572763249e-05
Fresh,100,151,551.0,0.11329998075962067,0.024676505476236343,0.1130349475546421,-0.00023816108201833025,-9.725630676640784e-05
Fresh,100,152,552.0,0.11315998435020447,0.024615731090307236,0.1127480292173445,-0.00033936126875085126,-0.00010219985457767325
Fresh,100,153,553.0,0.11283999681472778,0.024631572887301445,0.1123562250171404,-0.00044256079117367675,-0.0001052765723625615
Fresh,100,154,554.0,0.11243000626564026,0.024621639400720596,0.11186290763499715,-0.0005499144134759743,-0.00011215724287572115
Fresh,100,155,555.0,0.1117500364780426,0.024572089314460754,0.11125639619018846,-0.000666875276925119,-0.00011877304408086306
Fresh,100,156,556.0,0.11101999133825302,0.024677105247974396,0.11052915708114691,-0.0007874605016377004,-0.00012035450195262837
Fresh,100,157,557.0,0.11008001118898392,0.0247288029640913,0.10968147518691305,-0.0009075842808303758,-0.00012014942922339636
Fresh,100,158,558.0,0.10895000398159027,0.02470075897872448,0.10871398851948616,-0.001027759360084493,-0.00012032643118013026
Fresh,100,159,559.0,0.10785000026226044,0.024731913581490517,0.10762595646674407,-0.0011482371431906363,-0.00011634265229637161
Fresh,100,160,560.0,0.10657001286745071,0.024775898084044456,0.10641751423310489,-0.0012604446646772363,-0.00010806914550407637
Fresh,100,161,561.0,0.1052200049161911,0.024775220081210136,0.1051050671373896,-0.001364375434198789,-9.911340221631024e-05
Fresh,100,162,562.0,0.1037600040435791,0.024806901812553406,0.10368876336470731,-0.0014586714691098568,-8.632892467565559e-05
Fresh,100,163,563.0,0.10225002467632294,0.024821916595101357,0.10218772419916988,-0.0015370332835501002,-7.122712689561217e-05
Fresh,100,164,564.0,0.10078000277280807,0.024862654507160187,0.10061469679760711,-0.0016011257229010811,-5.5401211640070114e-05
Fresh,100,165,565.0,0.09915000200271606,0.02489834651350975,0.09898547275336772,-0.0016478357068302404,-3.7795010702119936e-05
Fresh,100,166,566.0,0.09746000170707703,0.02491120994091034,0.09731902538394663,-0.001676715744305321,-2.0187452099466874e-05
Fresh,100,167,567.0,0.09572999179363251,0.024940673261880875,0.09563204126475708,-0.0016882106110291742,-4.189460188840088e-06
Fresh,100,168,568.0,0.09404000639915466,0.024923050776124,0.09394260416188828,-0.0016850946646830012,9.049414994681537e-06
Fresh,100,169,569.0,0.09223999828100204,0.024933960288763046,0.09226185193539108,-0.0016701117810398111,2.1220522866127745e-05
Fresh,100,170,570.0,0.09044000506401062,0.024929631501436234,0.09060238059980866,-0.0016426536189507457,3.260166690074312e-05
Fresh,100,171,571.0,0.08873002231121063,0.02483137510716915,0.08897654469748958,-0.0016049084472383249,4.2733715522973864e-05
Fresh,100,172,572.0,0.08704999834299088,0.02480217069387436,0.08739256370533201,-0.001557186187904798,5.215537136395859e-05
Fresh,100,173,573.0,0.08542000502347946,0.024750832468271255,0.08586217232167999,-0.0015005977045104077,5.999110380671899e-05
Fresh,100,174,574.0,0.08390000462532043,0.02472023107111454,0.08439136829631119,-0.00143720398029136,6.669791375213743e-05
Fresh,100,175,575.0,0.08251998573541641,0.024752160534262657,0.08298776436109727,-0.0013672018770061328,7.277333257393881e-05
Fresh,100,176,576.0,0.08119998872280121,0.024700608104467392,0.08165696454229893,-0.0012916573151434824,7.694038507947629e-05
Fresh,100,177,577.0,0.08006999641656876,0.02471083216369152,0.0804044497308103,-0.0012133211068471803,7.920400768334987e-05
Fresh,100,178,578.0,0.07892002165317535,0.024713832885026932,0.07923032232860457,-0.0011332492997767826,8.210326354795433e-05
Fresh,100,179,579.0,0.07790001481771469,0.024724280461668968,0.07813795113125674,-0.0010491145797512716,8.367122105656585e-05
Fresh,100,180,580.0,0.07698998600244522,0.024773575365543365,0.07713209316910202,-0.0009659068576636509,7.914755271519469e-05
Fresh,100,181,581.0,0.07610998302698135,0.0247640423476696,0.07620613741592944,-0.0008908194743208822,7.292463759952031e-05
