stage,change_type,spectral_index_retained,wavelength_nm,mean_reflectance,smoothed_reflectance,first_derivative,second_derivative,score,score_abs,score_norm,common_id,common_representative_wavelength_nm
Stage3,local_minimum,1046,1446.0,0.4834900200366974,0.4833532038882665,-1.35143240295732e-06,4.641138207793494e-05,0.20448922650771617,0.20448922650771617,0.6546132045450432,9,1445.0
Dry,local_minimum,1053,1453.0,0.6918798685073853,0.6917309022513682,-1.0216735783330488e-05,3.934341128433716e-05,0.08177865048199062,0.08177865048199062,0.2617907327913185,9,1445.0
Dry,local_maximum,1241,1641.0,0.7736200094223022,0.7735095527333589,-1.5834619717103315e-06,-4.177105590735808e-05,0.08177865048199062,0.08177865048199062,0.09578852264329384,10,1657.0
Stage3,local_maximum,1247,1647.0,0.6878501176834106,0.6878424303959827,7.258904258677923e-06,-5.20572360140914e-05,0.20448922650771617,0.20448922650771617,0.23952120496238366,10,1657.0
Stage2,local_maximum,1251,1651.0,0.6243399977684021,0.6243254548739557,-2.341432161068191e-05,-5.0665943117977896e-05,0.26513735511350467,0.26513735511350467,0.3105592400239713,10,1657.0
Stage1,local_maximum,1254,1654.0,0.5733500123023987,0.5732900238589012,-1.1924069213964383e-05,-4.833677213078591e-05,0.302686948746218,0.302686948746218,0.35454162514202525,10,1657.0
Fresh,local_maximum,1257,1657.0,0.498820036649704,0.4986681364456161,2.190569544341381e-05,-4.7928601012145466e-05,0.3123817623719283,0.3123817623719283,0.36589730133667425,10,1657.0
Stage3,slope_curvature_change,1323,1723.0,0.5964300632476807,0.5967539062344522,-0.0004575715193747554,0.00011924416088993084,0.00011805436592854379,0.00011805436592854379,0.1526646030322103,11,1724.0
Dry,slope_curvature_change,1324,1724.0,0.6577599048614502,0.6585588490218971,-2.4032392062112162e-05,0.00016262588630922004,0.00016148128154144792,0.00016148128154144792,0.2088230752819378,11,1724.0
Dry,local_minimum,1324,1724.0,0.6577599048614502,0.6585588490218971,-2.4032392062112162e-05,0.00016262588630922004,0.0769223031555003,0.0769223031555003,0.24624453928240214,11,1724.0
Stage2,slope_curvature_change,1324,1724.0,0.5459499359130859,0.5464100024313977,-0.0005354724002445965,9.249806380007275e-05,9.168209978005493e-05,9.168209978005493e-05,0.11856072630599261,11,1724.0
