source,row,parse_ok,length,finite_count,nonfinite_count,min,max,mean
train,109,True,2151,2151,0,0.03700000047683716,0.906000018119812,0.37719061970710754
train,110,True,2151,2151,0,0.035999998450279236,0.921999990940094,0.40660157799720764
train,111,True,2151,2151,0,0.041999999433755875,0.9739999771118164,0.45843836665153503
train,112,True,2151,2151,0,0.03999999910593033,0.9399999976158142,0.4191757142543793
train,113,True,2151,2151,0,0.039000000804662704,0.9459999799728394,0.4222947359085083
train,114,True,2151,2151,0,0.04500000178813934,0.9449999928474426,0.43152162432670593
train,115,True,2151,2151,0,0.04600000008940697,0.9789999723434448,0.4514063000679016
train,116,True,2151,2151,0,0.03400000184774399,0.9430000185966492,0.4279809594154358
train,117,True,2151,2151,0,0.03799999877810478,0.9470000267028809,0.4579191207885742
train,118,True,2151,2151,0,0.03999999910593033,0.9350000023841858,0.4219730496406555
train,119,True,2151,2151,0,0.03099999949336052,0.9549999833106995,0.4380474090576172
train,120,True,2151,2151,0,0.03500000014901161,0.8870000243186951,0.4044826030731201
train,121,True,2151,2151,0,0.04600000008940697,0.9399999976158142,0.45032447576522827
train,122,True,2151,2151,0,0.11900000274181366,0.9129999876022339,0.47513341903686523
train,123,True,2151,2151,0,0.03700000047683716,0.9449999928474426,0.4220106899738312
train,124,True,2151,2151,0,0.039000000804662704,0.9359999895095825,0.4193212687969208
train,125,True,2151,2151,0,0.06400000303983688,0.9190000295639038,0.39796555042266846
train,126,True,2151,2151,0,0.057999998331069946,0.9079999923706055,0.3974611759185791
train,127,True,2151,2151,0,0.08100000023841858,0.8799999952316284,0.42005208134651184
train,128,True,2151,2151,0,0.07199999690055847,0.8759999871253967,0.4083612263202667
train,129,True,2151,2151,0,0.027000000700354576,0.8899999856948853,0.36675921082496643
train,130,True,2151,2151,0,0.03200000151991844,0.902999997138977,0.38304415345191956
train,131,True,2151,2151,0,0.04399999976158142,0.9110000133514404,0.40362757444381714
train,132,True,2151,2151,0,0.028999999165534973,0.8629999756813049,0.3630683124065399
train,133,True,2151,2151,0,0.029999999329447746,0.9240000247955322,0.3849674165248871
