stage,change_type,spectral_index_retained,wavelength_nm,mean_reflectance,smoothed_reflectance,first_derivative,second_derivative,score
Fresh,local_minimum,1526,1926.0,0.04195745289325714,0.041932893039039174,-5.240419996145607e-06,1.7620234911539315e-05,0.18208360058824719
Fresh,local_maximum,1822,2222.0,0.22397871315479279,0.22401649362728634,1.2098846318350787e-05,-2.462290613918644e-05,0.171307633642269
Stage1,slope_curvature_change,128,528.0,0.15589362382888794,0.15272824638686017,0.001703938889887971,-0.000373654689653731,0.00035121248196252203
Stage1,local_maximum,188,588.0,0.30140420794487,0.3001080596123817,8.02532496907149e-05,-0.0006665973568579509,0.2247352108173915
Stage1,slope_curvature_change,191,591.0,0.2996595799922943,0.2971737624218173,-0.002093229673004876,-0.0007554465110537617,0.0007445461786616259
Stage1,local_minimum,216,616.0,0.1749042570590973,0.17575433736219823,0.00010745370788248221,0.0006146532688611622,0.044548728308055036
Stage1,slope_curvature_change,241,641.0,0.21580849587917328,0.21495022283656598,-0.0025990730339323365,-0.000641543309488013,0.0006056686642739034
Stage1,local_minimum,271,671.0,0.0761914998292923,0.07537284879499018,1.214914508326087e-05,0.00037596601755893536,0.2247352108173915
Stage1,slope_curvature_change,321,721.0,0.7268192172050476,0.7237085875491529,0.014451120158383568,-0.0011484180139644529,0.0011477665296669402
Stage1,local_maximum,518,918.0,0.9708296060562134,0.9708662174362223,-8.077842784948164e-06,-1.8181110347015306e-05,0.03288366919593699
Stage1,local_minimum,572,972.0,0.9380961656570435,0.9379825482402853,-1.9803165557663593e-05,4.645569679628814e-05,0.03288366919593699
Stage1,local_maximum,667,1067.0,0.9764363765716553,0.9763968645386816,-1.5406797118089344e-06,-1.7179116125948246e-05,0.9085192771326618
Stage1,slope_curvature_change,754,1154.0,0.8831168413162231,0.8838651369225015,-0.0019884833745639763,0.00019751685202595848,0.00019721639374523092
Stage1,slope_curvature_change,977,1377.0,0.6322338581085205,0.6308585464779358,-0.008014849226724519,-0.0005039803722182157,0.000503923222219177
Stage1,local_minimum,1043,1443.0,0.22789360582828522,0.2278690230259861,1.8061087362714057e-05,4.248405627877566e-05,0.32943320370036333
Stage1,local_maximum,1274,1674.0,0.5573935508728027,0.5573022267263494,-4.147335665505292e-06,-2.557667614008774e-05,0.32943320370036333
Stage1,slope_curvature_change,1493,1893.0,0.10675529390573502,0.10778464900478314,-0.005787683658385237,0.000417084846578146,0.0004164107012595217
Stage1,local_minimum,1526,1926.0,0.05375531315803528,0.0537106894639995,-2.882368685574316e-06,2.8885707910134353e-05,0.20202636971371352
Stage1,local_maximum,1825,2225.0,0.2557978630065918,0.255737059177713,7.602937398265563e-07,-3.2413913249138004e-05,0.18964443189759317
Stage2,slope_curvature_change,128,528.0,0.16506384313106537,0.1618794410643234,0.0016327618713300601,-0.00038215600610356365,0.00036404706181353275
Stage2,local_maximum,188,588.0,0.3140425682067871,0.3125502857352098,0.00010036677950878148,-0.0006920688478875558,0.2307955187075048
