row,parse_ok,original_length,retained_length,min,max,mean
202,True,2151,2101,0.05900000035762787,1.0089999437332153,0.4870795011520386
203,True,2151,2101,0.04800000041723251,0.9959999918937683,0.46586674451828003
204,True,2151,2101,0.05900000035762787,1.0010000467300415,0.4928276538848877
205,True,2151,2101,0.057999998331069946,0.9480000138282776,0.48468536138534546
206,True,2151,2101,0.061000000685453415,0.9700000286102295,0.46241119503974915
207,True,2151,2101,0.04699999839067459,1.062999963760376,0.496451199054718
208,True,2151,2101,0.05000000074505806,1.031999945640564,0.4913664758205414
209,True,2151,2101,0.05999999865889549,0.9750000238418579,0.4492279887199402
210,True,2151,2101,0.054999999701976776,0.9990000128746033,0.45669588446617126
211,True,2151,2101,0.0560000017285347,1.00600004196167,0.49853166937828064
212,True,2151,2101,0.06199999898672104,1.0540000200271606,0.5266568064689636
213,True,2151,2101,0.04699999839067459,1.062999963760376,0.496451199054718
214,True,2151,2101,0.05299999937415123,1.0160000324249268,0.47239553928375244
215,True,2151,2101,0.05000000074505806,1.031999945640564,0.4913664758205414
216,True,2151,2101,0.05999999865889549,0.9750000238418579,0.4492279887199402
217,True,2151,2101,0.054999999701976776,0.9990000128746033,0.45669588446617126
218,True,2151,2101,0.0560000017285347,1.00600004196167,0.49853166937828064
219,True,2151,2101,0.09799999743700027,1.0809999704360962,0.5368347764015198
220,True,2151,2101,0.0689999982714653,0.9570000171661377,0.47374293208122253
221,True,2151,2101,0.11299999803304672,1.0049999952316284,0.5250024199485779
222,True,2151,2101,0.08699999749660492,1.0210000276565552,0.5225121378898621
223,True,2151,2101,0.09099999815225601,1.0010000467300415,0.5346782803535461
224,True,2151,2101,0.09700000286102295,1.0299999713897705,0.5515939593315125
225,True,2151,2101,0.05700000002980232,0.9929999709129333,0.5102936625480652
226,True,2151,2101,0.07400000095367432,1.0069999694824219,0.5012441873550415
227,True,2151,2101,0.057999998331069946,0.9850000143051147,0.6180638074874878
228,True,2151,2101,0.06199999898672104,1.0069999694824219,0.5417243838310242
229,True,2151,2101,0.054999999701976776,0.9890000224113464,0.6195468902587891
230,True,2151,2101,0.06800000369548798,0.9850000143051147,0.49992528557777405
231,True,2151,2101,0.06599999964237213,1.0369999408721924,0.6565539836883545
232,True,2151,2101,0.05999999865889549,1.0369999408721924,0.5432465076446533
233,True,2151,2101,0.07400000095367432,1.0859999656677246,0.5197495818138123
234,True,2151,2101,0.04699999839067459,1.0520000457763672,0.5536858439445496
235,True,2151,2101,0.04899999871850014,1.0180000066757202,0.6173198819160461
236,True,2151,2101,0.05400000140070915,1.0360000133514404,0.47322511672973633
