stage,spectral_index_retained,wavelength_nm,mean_reflectance,smoothed_reflectance,first_derivative,second_derivative,abs_second_derivative
Fresh,86,486.0,0.05402126535773277,0.05398810079566123,0.0002395566656472753,4.382472050579872e-05,4.382472050579872e-05
Fresh,87,487.0,0.054382968693971634,0.05424863911599153,0.00028641583353343145,4.9671977351554986e-05,4.9671977351554986e-05
Fresh,88,488.0,0.054617010056972504,0.05456093246272809,0.00033890062035038526,5.427327593593434e-05,5.427327593593434e-05
Fresh,89,489.0,0.055021267384290695,0.0549264403566923,0.0003949623854053001,5.847400720924989e-05,5.847400720924989e-05
Fresh,90,490.0,0.055436160415410995,0.05535085723353869,0.00045584863476888504,6.422893475601342e-05,6.422893475601342e-05
Fresh,91,491.0,0.05593617260456085,0.05583813762623007,0.000523420254917327,7.05721859965841e-05,7.05721859965841e-05
Fresh,92,492.0,0.0565531961619854,0.056397697743373346,0.0005969930067620532,7.597682955203834e-05,7.597682955203834e-05
Fresh,93,493.0,0.057234060019254684,0.05703212363975418,0.0006753739140214036,8.381954498347041e-05,8.381954498347041e-05
Fresh,94,494.0,0.05795745551586151,0.05774844557141615,0.0007646320967289941,9.377926634393692e-05,9.377926634393692e-05
Fresh,95,495.0,0.058765958994627,0.058561387833212165,0.0008629324467092775,0.00010224395636037123,0.00010224395636037123
Fresh,96,496.0,0.05962765961885452,0.05947431046483471,0.0009691200094497365,0.00011267478360524504,0.00011267478360524504
Fresh,97,497.0,0.060563839972019196,0.06049962785211164,0.0010882820139197676,0.00012599754675850054,0.00012599754675850054
Fresh,98,498.0,0.061723411083221436,0.06165087449267424,0.0012211151029667376,0.000137442922290636,0.000137442922290636
Fresh,99,499.0,0.06301064044237137,0.06294185805804511,0.0013631678585010396,0.00014660324557029362,0.00014660324557029362
Fresh,100,500.0,0.06446807831525803,0.06437721020967632,0.0015143215941073249,0.00015931050988648998,0.00015931050988648998
Fresh,101,501.0,0.06601062417030334,0.06597050124625976,0.0016817888782740195,0.00017756688812479993,0.00017756688812479993
Fresh,102,502.0,0.0677446722984314,0.06774078796622436,0.0018694553703569247,0.00019277396745318726,0.00019277396745318726
Fresh,103,503.0,0.06961704045534134,0.06970941198697361,0.002067336813180394,0.00020331093721827342,0.00020331093721827342
Fresh,104,504.0,0.07174467295408249,0.07187546159258515,0.0022760772447934716,0.00021921200593932877,0.00021921200593932877
Fresh,105,505.0,0.07403193414211273,0.07426156647656056,0.0025057608250590516,0.00023647227097294,0.00023647227097294
Fresh,106,506.0,0.07667022198438644,0.07688698324270325,0.0027490217867393515,0.0002490618617541941,0.0002490618617541941
Fresh,107,507.0,0.07940424978733063,0.07975961005003926,0.00300388454856744,0.00026195321404612684,0.00026195321404612684
Fresh,108,508.0,0.08246808499097824,0.08289475233983813,0.0032729282148316052,0.0002735349268590537,0.0002735349268590537
Fresh,109,509.0,0.0858510434627533,0.08630546647970247,0.003550954402285547,0.00028021853680477993,0.00028021853680477993
Fresh,110,510.0,0.08936167508363724,0.08999666114440923,0.003833365288441165,0.0002826423683639778,0.0002826423683639778
Fresh,111,511.0,0.09329785406589508,0.0939721970565848,0.004116239139013503,0.00027915065600865943,0.00027915065600865943
Fresh,112,512.0,0.09740424901247025,0.09822913942243623,0.004391666600458484,0.0002731098483131633,0.0002731098483131633
Fresh,113,513.0,0.10185106843709946,0.10275553025750177,0.0046624588356398294,0.00026591394964176063,0.00026591394964176063
Fresh,114,514.0,0.10653189569711685,0.10755405709371589,0.004923494499742005,0.0002513079044083842,0.0002513079044083842
Fresh,115,515.0,0.11156382411718369,0.11260251925698578,0.005165074644456598,0.00022932116271107486,0.00022932116271107486
Fresh,116,516.0,0.11688297241926193,0.11788420638262909,0.005382136825164155,0.00020122999359862767,0.00020122999359862767
Fresh,117,517.0,0.12243615835905075,0.12336679290731409,0.005567534631653853,0.0001706372926158356,0.0001706372926158356
Fresh,118,518.0,0.12812767922878265,0.1290192756459368,0.005723411410395826,0.00013905902839469325,0.00013905902839469325
Fresh,119,519.0,0.13415959477424622,0.13481361572810574,0.00584565268844324,0.00010094238620896728,0.00010094238620896728
Fresh,120,520.0,0.14030851423740387,0.14071058102282327,0.005925296182813761,6.092335572618207e-05,6.092335572618207e-05
Fresh,121,521.0,0.14640425145626068,0.14666420809373326,0.005967499399895604,2.316245145247281e-05,2.316245145247281e-05
Fresh,122,522.0,0.152670219540596,0.15264557982261448,0.005971621085718706,-1.7927740127474112e-05,1.7927740127474112e-05
Fresh,123,523.0,0.15892553329467773,0.15860745026517067,0.005931643919640656,-5.9362075976544804e-05,5.9362075976544804e-05
Fresh,124,524.0,0.16505323350429535,0.1645088676618958,0.005852896933765617,-9.934782088315275e-05,9.934782088315275e-05
Fresh,125,525.0,0.17106382548809052,0.1703132441327019,0.00573294827787435,-0.00013964307529400893,0.00013964307529400893
Fresh,126,526.0,0.17688296735286713,0.1759747642176445,0.005573610783177599,-0.00017662216058899477,0.00017662216058899477
Fresh,127,527.0,0.18246807157993317,0.1814604656990571,0.005379703956696361,-0.00021030833205005345,0.00021030833205005345
Fresh,128,528.0,0.1878829449415207,0.1867341721310372,0.005152994119077492,-0.00024006667970066786,0.00024006667970066786
Fresh,129,529.0,0.19282975792884827,0.1917664539372121,0.004899570597295025,-0.00026254252613415463,0.00026254252613415463
Fresh,130,530.0,0.1975957453250885,0.19653331332562726,0.004627909066809183,-0.0002766474328022711,0.0002766474328022711
Fresh,131,531.0,0.2019999921321869,0.20102227207083045,0.004346275731690483,-0.0002856109540320742,0.0002856109540320742
Fresh,132,532.0,0.2061595469713211,0.20522586478900823,0.004056687158745034,-0.0002906366997013077,0.0002906366997013077
Fresh,133,533.0,0.21006383001804352,0.20913564638832052,0.0037650023322878673,-0.00028612784512429407,0.00028612784512429407
Fresh,134,534.0,0.2134893536567688,0.21275586945358396,0.003484431468496446,-0.00027327999903575123,0.00027327999903575123
Fresh,135,535.0,0.21670211851596832,0.21610450932531342,0.003218442334216365,-0.0002616792544308036,0.0002616792544308036
Fresh,136,536.0,0.2197234332561493,0.2191927541220167,0.002961072959634839,-0.0002488232124399012,0.0002488232124399012
Fresh,137,537.0,0.22237233817577362,0.2220266552445831,0.0027207959093365625,-0.00022753835363326091,0.00022753835363326091
Fresh,138,538.0,0.2247340977191925,0.22463434594068982,0.002505996252368317,-0.00020611377553299975,0.00020611377553299975
Fresh,139,539.0,0.2269149273633957,0.22703864774931973,0.002308568358270563,-0.0001909577990581307,0.0001909577990581307
Fresh,140,540.0,0.2288723587989807,0.22925148265723094,0.0021240806542520557,-0.00017779704459468249,0.00017779704459468249
Fresh,141,541.0,0.2306382656097412,0.23128680905782384,0.001952974269081198,-0.00016779506205907846,0.00016779506205907846
Fresh,142,542.0,0.23232977092266083,0.23315743119539334,0.0017884905301338988,-0.000161335143100641,0.000161335143100641
Fresh,143,543.0,0.23386169970035553,0.23486379011809164,0.001630303982879916,-0.0001596615452269176,0.0001596615452269176
Fresh,144,544.0,0.2353723794221878,0.23641803916115317,0.0014691674396800636,-0.00016561788736128846,0.00016561788736128846
Fresh,145,545.0,0.23677663505077362,0.23780212499745176,0.001299068208157339,-0.0001737654178246839,0.0001737654178246839
Fresh,146,546.0,0.2380850911140442,0.23901617557746785,0.0011216366040306958,-0.00018227765492401238,0.00018227765492401238
Fresh,147,547.0,0.23927655816078186,0.24004539820551316,0.0009345128983093143,-0.00019032289153015497,0.00019032289153015497
Fresh,148,548.0,0.2404680699110031,0.24088520137408648,0.0007409908209703858,-0.00019943957346155172,0.00019943957346155172
Fresh,149,549.0,0.2414149045944214,0.24152737984745393,0.0005356337513862108,-0.0002104896512976906,0.0002104896512976906
Fresh,150,550.0,0.24213828146457672,0.2419564688768589,0.00032001151837500463,-0.0002181321783342391,0.0002181321783342391
Fresh,151,551.0,0.2426702380180359,0.24216740288420394,9.936939471773265e-05,-0.00022366941193680684,0.00022366941193680684
Fresh,152,552.0,0.24301066994667053,0.24215520766629436,-0.00012732730549860904,-0.00023275494141530156,0.00023275494141530156
Fresh,153,553.0,0.2429787665605545,0.24191274827320672,-0.0003661404881128705,-0.00024409946071172334,0.00024409946071172334
Fresh,154,554.0,0.2425319254398346,0.24142292669006862,-0.0006155262269220557,-0.0002549750096956377,0.0002549750096956377
Fresh,155,555.0,0.24177661538124084,0.2406816958193626,-0.0008760905075041459,-0.00026582466171510416,0.00026582466171510416
Fresh,156,556.0,0.24068079888820648,0.23967074567506033,-0.001147175550352264,-0.00027239109142833395,0.00027239109142833395
Fresh,157,557.0,0.23917019367218018,0.23838734471865808,-0.0014208726903608138,-0.0002744104398648278,0.0002744104398648278
Fresh,158,558.0,0.2374361753463745,0.2368290002943387,-0.0016959964300819197,-0.00027339294136911885,0.00027339294136911885
Fresh,159,559.0,0.23528726398944855,0.23499535185849424,-0.0019676585730990515,-0.0002655412586263922,0.0002655412586263922
